"id","sid","jname","ename","flist"
1,1,"ナイアシン欠乏","Niacin Deficiency","0.19,0.23,0.95,82.50,192.71,227.50,452.02,592.50,731.31,815.72"
2,1,"ビタミンA欠乏","Vitamin A Deficiency","0.14,0.57,0.95,23.50,269.71,57.50,175.16,436.42,642.91,978.05"
3,1,"ビタミンB欠乏","Vitamin B Deficiency","0.05,0.41,1.00,45.00,97.50,324.37,410.25,566.41,709.83,930.12"
4,1,"ビタミンC欠乏","Vitamin C Deficiency","0.05,0.73,2.95,47.50,222.53,452.59,517.50,683.00,712.00,993.41"
5,1,"ビタミンD欠乏","Vitamin D Deficiency","0.17,0.22,0.62,11.09,40.00,57.50,150.00,175.00,426.90,826.00"
6,2,"高カルシウム血症","Hypercalcemia","0.11,0.49,14.73,82.50,217.50,344.01,671.52,753.21,871.02,975.87"
7,2,"高カリウム血症","Hyperkalemia","0.10,0.57,0.95,12.85,20.00,37.50,95.79,250.00,475.58,527.00"
8,2,"カルシウム吸収不足","Osteomalacia","0.10,0.22,0.68,7.25,39.25,125.37,220.91,405.37,593.50,875.52"
9,2,"燐酸カルシウム蓄積","Pseudogout","0.07,0.24,30.65,78.52,197.25,267.00,512.35,602.21,733.63,925.00"
10,2,"高シュウ酸血症","Hyperoxaluria","0.03,0.32,0.62,0.80,7.50,2.50,32.50,90.00,322.06,524.94"
11,3,"電子伝達系","Electron Transport Chain Deficiency","0.16,0.35,0.93,2.50,215.61,355.68,419.34,651.10,723.03,868.43"
12,3,"ミトコンドリア病","Mitochondrial Disease","0.16,0.35,0.93,2.50,215.61,355.68,419.34,651.10,723.03,868.43"
13,3,"シスタチオニン不足","Cystathionine Deficiency","0.24,0.73,0.83,7.50,30.00,57.50,95.87,97.50,424.94,562.91"
14,3,"酸化・リン酸化の不足","Oxidative Phosphorylation Deficiency","0.16,0.35,0.93,2.50,215.61,355.68,419.34,651.10,723.03,868.43"
15,3,"フィタン酸不足","Phytanic Acid Storge Disease","0.04,0.41,0.62,0.97,7.50,20.00,87.50,342.06,635.31,834.45"
16,3,"ヒポキサンチン不足","Hypoxanthine-Phosphoribosyl-Transferase Deficiency Disease","0.07,0.22,0.62,7.50,2.50,41.01,119.34,475.69,527.00,667.00"
17,4,"ロイシン代謝","Leucine Metablism Disorder","0.03,0.26,0.78,11.95,7.50,55.54,97.50,515.70,652.43,758.78"
18,4,"DHG不足","Glucose Phosphate Deficiency","0.11,0.24,0.65,0.83,2.50,27.50,55.37,87.50,125.52,322.06"
19,4,"ウリジングルコース４エピメラーゼ","UDPglucose4Epimeraze","0.11,0.24,0.65,0.83,2.50,127.50,255.47,387.50,696.50,825.91"
20,4,"カルボキシラーゼ","Carboxylase Deficiency, Multiple, Late-Onset","0.19,0.35,13.52,90.00,355.08,475.16,527.00,667.00,789.00,986.22"
21,4,"フコシターゼ欠乏","Fucosidase Deficiency","0.05,0.24,0.68,0.95,2.50,7.50,32.50,96.50,275.47,522.53"
22,4,"ビオチニダーゼ欠乏","Biotinidase Deficiency","0.19,0.35,13.52,90.00,355.08,475.16,527.00,667.00,789.00,986.22"
23,4,"脂肪酸の酸化不良","Fatty Acid Oxidation Disorder","0.02,0.52,0.73,2.25,5.43,45.44,269.71,534.25,682.45,751.87"
24,4,"低フォスフォターゼ症","Hypophosphatasia","0.04,0.22,0.95,5.58,25.68,17.50,42.50,60.00,95.23,125.68"
25,4,"代謝ストレス","Metabolic Stress","0.14,0.68,2.50,62.42,122.53,300.00,496.01,655.20,755.00,805.12"
26,4,"イノシン酸","inosinic acid","2.642"
27,5,"性腺","Gonadal Disorder","0.37,0.95,2.50,7.50,67.50,96.50,375.52,475.91,525.91,801.29"
28,5,"黄体ホルモン","Luteinizing  Hormone","0.13,0.35,0.70,0.85,5.79,77.25,130.00,296.50,625.58,915.70"
29,5,"プロラクチン","Prolactin Hypersecretion","0.03,0.52,0.68,0.90,7.50,88.50,151.79,285.00,325.79,819.34"
30,5,"卵胞刺激ホルモン","Follicle Stimulating Hormone","0.13,0.35,0.70,0.85,5.79,77.25,130.00,296.50,625.58,915.70"
31,5,"男性ホルモン","Male hormones","1.444,1.445"
32,5,"女性ホルモン","Female Hormones","1.351"
33,6,"自己免疫疾患","Autoimmune Disease","0.24,5.09,32.50,75.85,95.75,175.00,250.00,456.00,784.00,927.00"
34,6,"繊維筋痛症","Fibromyalgia","0.04,0.49,0.78,7.50,118.00,215.43,362.51,422.06,608.41,751.20"
35,6,"抗糸球体基底膜抗体","Goodpasture Syndrome","0.17,0.95,10.53,2.50,125.09,375.16,525.71,650.00,752.63,923.70"
36,6,"抗リン脂質抗体症候群","Antiphospholipid Syndrome","0.05,0.73,1.55,13.39,22.50,247.00,391.00,571.00,827.00,937.41"
37,7,"ミオクローヌス","Myoclonus","0.07,0.35,0.70,45.00,77.25,114.69,320.00,637.08,805.87,973.50"
38,7,"ジストニア","Dystonia","0.08,0.50,0.83,11.70,58.87,330.21,417.32,653.02,822.01,971.32"
39,7,"腕神経叢","Brachial Plexus","0.15,0.57,15.16,52.50,119.34,357.30,424.37,561.93,642.91,930.12"
40,7,"神経の回復","Recover Nerve System","0.002,0.675,5.00,10.00"
41,8,"傷・コラーゲン再生","Skin  Disease","0.19,0.37,7.25,45.75,96.50,325.00,519.34,655.20,750.00,922.53"
42,8,"ケロイド","Keloid","0.10,0.50,0.78,0.85,5.62,37.50,131.98,285.00,624.11,881.19"
43,8,"皮膚真菌症","Dermatomycoses","0.02,0.75,2.62,5.95,8.50,125.69,262.50,592.50,758.57,823.44"
44,8,"蕁麻疹","Urticaria","0.07,0.49,0.60,0.93,2.25,5.81,13.93,95.09,375.00,525.71"
45,8,"フルンケル症","Furunculosis","0.20,0.46,0.60,2.25,12.85,27.50,42.50,96.50,236.42,455.21"
46,9,"好酸球増加症","Eosinophilia","0.02,0.12,0.95,12.33,82.50,152.00,362.02,604.00,713.34,823.58"
47,9,"好中球減少症","Neutropenia","0.06,0.46,0.62,0.97,2.50,22.68,167.51,436.42,558.57,726.16"
48,9,"粘膜免疫低下","IgA Deficiency","0.13,0.23,0.70,0.87,5.78,7.25,30.00,96.50,322.06,519.34"
49,9,"ランゲラハンス細胞組織球増加性","Histiocytosis Langerhans Cell","0.14,0.32,0.97,2.50,11.09,20.00,57.50,225.00,423.01,565.36"
50,9,"プラズマ細胞悪液質","Plasma Cell Dyscrasias","0.13,0.40,0.68,0.80,5.26,72.50,135.47,296.50,556.72,879.93"
51,9,"肥満細胞","Mast Cell Disease","0.07,0.24,0.78,12.50,57.50,112.05,241.21,361.28,596.50,888.20"
52,9,"グロブリン合成不全","Paraproteinemia","0.13,0.40,0.68,0.80,5.26,72.50,135.47,296.50,556.72,879.93"
53,9,"ガングリオシドシアリダーゼ","Ganglioside Sialidase Deficiency","0.20,0.25,0.65,2.50,3.00,7.50,96.50,326.16,534.25,652.43"
54,9,"ファンコニー貧血","Anemia Fonconi","0.05,0.41,1.29,5.43,7.25,125.44,467.50,605.91,702.50,815.43"
55,9,"免疫欠乏","Immunodeficiency AIS","0.15,5.58,22.00,30.00,47.50,360.59,365.00,388.90,434.00,456.11"
56,9,"モルゲロンズ病(内部寄生虫)","Morgellons(Internal Parasites)","0.16,0.30,0.68,0.90,2.50,5.50,13.93,356.72,451.17,483.52,93.50,380.67,412.12"
57,10,"重金属","Heavy Metal","0.20,0.14,0.33,0.42,0.55,0.52,0.76,128.33,435.21"
58,10,"毒素排出","Toxin Extraction","0.20,0.14,0.33,0.42,0.44,0.55,0.52,0.76,0.78,1.86"
59,10,"植物毒素","Plant Poisoning","0.13,0.52,1.73,7.25,15.71,35.34,272.51,512.91,775.83,815.38"
60,10,"砒素毒","Arsenic Poisoning","0.10,0.83,5.50,52.50,342.06,458.50,515.09,687.62,712.23,995.38"
61,10,"放射能","Radiation Detox","0.25,0.50,2.75,65.35,105.31,328.21,357.00,405.15,424.65,575.20"
62,10,"電気過敏","Reduce  Electrical Sensitivity","0.657"
63,10,"肝・腎・リンパ・腸管・傷","Detox（Liver~）","0.03,0.54,0.75,0.02,0.24,0.15,0.52,0.44,0.64,0.18"
64,10,"薬の副作用","Adverse Drug Reaction","0.20,0.14,0.33,0.42,0.44,0.55,0.52,0.76,0.78,1.86"
65,10,"自己中毒","Autointoxication","0.522,0.146,1.550,10.00,0.8,0.88,0.787,0.72,0.02"
66,10,"ネガティブエネルギー除去","Reduce Negative Energy","20.08,89.08"
67,11,"リーキーガット","Leaky Gut Syndrome","0.17,0.22,0.47,0.61,109.33,117.88,211.00,360.00,525.71,683.47"
68,11,"セリアック病","Celiac Disease","0.12,0.55,0.85,2.50,20.00,47.50,72.50,125.17,379.93,475.19"
69,11,"即時型アレルギー","Hypersensitivity Atopic","0.04,0.24,0.57,1.92,30.72,57.50,152.01,321.26,669.71,823.01"
70,11,"遅延型アレルギー","Hypersensitivity","0.04,0.37,0.65,0.80,2.50,25.58,52.50,192.50,375.79,925.06"
71,11,"化学物質過敏","Multiple Chemical Sensitivity","0.08,0.37,0.78,8.85,45.50,113.52,241.01,392.50,675.87,812.02"
72,11,"特発性環境アレルギー","Idiopathic Environmental Allergy","0.08,0.37,0.78,8.85,45.50,113.52,241.01,392.50,675.87,812.02"
73,11,"ラテックスアレルギー","Latex Hypersensitivity","0.15,0.23,0.65,0.93,7.50,11.09,52.50,172.51,383.50,516.52"
74,11,"アナフィラキシー反応","Anaphylacitic Reaction","0.14,0.75,2.50,65.00,87.30,236.42,400.00,561.93,714.82,978.05"
75,12,"味覚障害","Taste Disorder","0.16,5.50,20.00,37.50,96.50,312.33,475.15,527.00,662.71,789.00"
76,12,"歯周病","Periodontal Disease","0.06,0.32,0.73,0.87,12.33,15.00,85.54,150.00,225.36,575.83"
77,12,"歯の削不良","Teeth Grinding Disorder","0.08,0.32,20.00,85.03,150.00,225.00,219.34,453.72,515.15,683.00"
78,12,"口内炎","Stomatitis Aphthous","0.05,0.41,0.80,5.17,42.50,119.34,357.30,527.00,662.71,789.00"
79,13,"耳鳴り","Tinnitus","0.07,0.24,0.57,87.50,175.16,322.06,476.50,667.00,742.00,985.67"
80,13,"聴覚","Hearing Disorder","0.04,0.50,0.93,2.25,5.29,30.00,142.50,350.00,422.06,775.29"
81,13,"耳炎","Otitis","0.10,0.52,0.78,0.80,2.25,5.26,167.50,352.52,845.47,922.53"
82,14,"大脳","Brain Disorder","0.04,0.25,0.46,0.32,0.52,0.75,42.50,87.50,132.41,376.29"
83,14,"尾状核","Huntington Disease","0.15,0.23,0.75,3.85,52.25,177.25,400.00,563.19,642.91,976.90"
